"日期","收盘","开盘","高","低","涨跌幅"
"2022年6月6日","0.9334","0.9325","0.9341","0.9301","0.11%"
"2022年6月5日","0.9323","0.9327","0.9334","0.9319","-0.04%"
"2022年6月3日","0.9327","0.9306","0.9342","0.9290","0.27%"
"2022年6月2日","0.9302","0.9391","0.9395","0.9301","-0.92%"
"2022年6月1日","0.9388","0.9316","0.9410","0.9312","0.79%"
"2022年5月31日","0.9314","0.9277","0.9365","0.9276","0.41%"
"2022年5月30日","0.9276","0.9314","0.9323","0.9270","-0.46%"
"2022年5月27日","0.9319","0.9323","0.9349","0.9289","-0.02%"
"2022年5月26日","0.9321","0.9360","0.9379","0.9317","-0.42%"
"2022年5月25日","0.9360","0.9313","0.9397","0.9312","0.49%"
"2022年5月24日","0.9314","0.9354","0.9380","0.9302","-0.41%"
"2022年5月23日","0.9352","0.9459","0.9471","0.9347","-1.20%"
"2022年5月20日","0.9466","0.9445","0.9495","0.9434","0.25%"
"2022年5月19日","0.9442","0.9551","0.9560","0.9427","-1.14%"
"2022年5月18日","0.9551","0.9480","0.9560","0.9466","0.77%"
"2022年5月17日","0.9478","0.9584","0.9589","0.9473","-1.10%"
"2022年5月16日","0.9583","0.9611","0.9626","0.9575","-0.20%"
"2022年5月13日","0.9602","0.9635","0.9663","0.9596","-0.32%"
"2022年5月12日","0.9633","0.9513","0.9658","0.9497","1.29%"
"2022年5月11日","0.9510","0.9498","0.9523","0.9454","0.15%"
"2022年5月10日","0.9496","0.9472","0.9501","0.9446","0.26%"
"2022年5月9日","0.9471","0.9477","0.9528","0.9439","-0.03%"
"2022年5月6日","0.9474","0.9484","0.9540","0.9434","-0.11%"
"2022年5月5日","0.9484","0.9414","0.9531","0.9396","0.76%"
"2022年5月4日","0.9412","0.9510","0.9518","0.9406","-0.94%"
"2022年5月3日","0.9501","0.9516","0.9529","0.9454","-0.18%"
"2022年5月2日","0.9518","0.9478","0.9533","0.9462","0.37%"
"2022年4月29日","0.9483","0.9528","0.9532","0.9440","-0.41%"
"2022年4月28日","0.9522","0.9473","0.9550","0.9464","0.54%"
"2022年4月27日","0.9471","0.9401","0.9512","0.9385","0.77%"
"2022年4月26日","0.9399","0.9334","0.9402","0.9312","0.71%"
"2022年4月25日","0.9333","0.9224","0.9349","0.9223","0.76%"
"2022年4月22日","0.9263","0.9227","0.9285","0.9215","0.41%"
"2022年4月21日","0.9225","0.9215","0.9239","0.9143","0.14%"
"2022年4月20日","0.9212","0.9269","0.9273","0.9201","-0.60%"
"2022年4月19日","0.9268","0.9274","0.9294","0.9247","-0.05%"
"2022年4月18日","0.9273","0.9255","0.9286","0.9240","0.24%"
"2022年4月15日","0.9251","0.9236","0.9262","0.9233","0.19%"
"2022年4月14日","0.9233","0.9185","0.9296","0.9154","0.53%"
"2022年4月13日","0.9184","0.9236","0.9252","0.9178","-0.54%"
"2022年4月12日","0.9234","0.9190","0.9241","0.9171","0.50%"
"2022年4月11日","0.9188","0.9145","0.9197","0.9131","-0.03%"
"2022年4月8日","0.9191","0.9192","0.9229","0.9180","0.00%"
"2022年4月7日","0.9191","0.9179","0.9204","0.9141","0.16%"
"2022年4月6日","0.9176","0.9169","0.9196","0.9142","0.09%"
"2022年4月5日","0.9168","0.9114","0.9175","0.9100","0.61%"
"2022年4月4日","0.9112","0.9059","0.9124","0.9045","0.75%"
"2022年4月1日","0.9044","0.9038","0.9068","0.9028","0.11%"
"2022年3月31日","0.9034","0.8963","0.9041","0.8940","0.83%"
"2022年3月30日","0.8960","0.9020","0.9023","0.8952","-0.64%"
"2022年3月29日","0.9018","0.9107","0.9116","0.8978","-0.97%"
"2022年3月28日","0.9106","0.9100","0.9137","0.9090","0.03%"
"2022年3月25日","0.9103","0.9093","0.9108","0.9059","0.12%"
"2022年3月24日","0.9092","0.9087","0.9120","0.9079","0.07%"
"2022年3月23日","0.9086","0.9067","0.9121","0.9054","0.23%"
"2022年3月22日","0.9065","0.9076","0.9124","0.9053","-0.12%"
"2022年3月21日","0.9076","0.9042","0.9083","0.9033","0.30%"
"2022年3月18日","0.9049","0.9017","0.9089","0.8993","0.38%"
"2022年3月17日","0.9015","0.9061","0.9084","0.8978","-0.53%"
"2022年3月16日","0.9063","0.9128","0.9133","0.9052","-0.71%"
