"日期","收盘","开盘","高","低","涨跌幅"
"2022年6月6日","61.0440","60.9500","61.8650","60.5390","0.15%"
"2022年6月3日","60.9500","61.6500","62.4923","60.3200","-1.14%"
"2022年6月2日","61.6500","61.2800","61.9080","60.9310","0.60%"
"2022年6月1日","61.2800","61.5000","62.1038","61.0503","-0.36%"
"2022年5月31日","61.5000","62.2500","63.3017","60.5851","-1.20%"
"2022年5月30日","62.2500","66.7000","66.7132","61.0948","-6.67%"
"2022年5月27日","66.7000","65.2600","67.4457","64.9001","2.21%"
"2022年5月26日","65.2600","59.3300","65.6223","59.3300","9.99%"
"2022年5月25日","59.3300","56.8000","60.0026","55.8383","4.45%"
"2022年5月24日","56.8000","57.8675","57.8675","56.2853","-1.84%"
"2022年5月23日","57.8675","60.2325","60.2827","57.2048","-3.93%"
"2022年5月20日","60.2325","61.9050","61.9050","57.1250","-2.70%"
"2022年5月19日","61.9050","63.4450","63.6000","61.5747","-2.43%"
"2022年5月18日","63.4450","63.6000","64.0300","63.0010","-0.24%"
"2022年5月17日","63.6000","63.4000","63.9696","63.1746","0.32%"
"2022年5月16日","63.4000","64.5450","64.5450","62.7741","-1.77%"
"2022年5月13日","64.5450","63.3000","65.4048","62.7525","1.97%"
"2022年5月12日","63.3000","67.2000","67.3975","63.2048","-5.80%"
"2022年5月11日","67.2000","69.4025","70.2000","66.5280","-3.17%"
"2022年5月9日","69.4025","69.4025","69.4025","69.4025","0.00%"
"2022年5月6日","69.4025","67.0000","70.1875","66.0889","3.59%"
"2022年5月5日","67.0000","66.3000","67.6598","66.0101","1.06%"
"2022年5月4日","66.3000","70.9600","70.9600","66.3000","-6.57%"
"2022年5月3日","70.9600","70.9600","70.9600","70.9600","0.00%"
"2022年4月29日","70.9600","72.0800","72.3403","70.3221","-1.55%"
"2022年4月28日","72.0800","72.7800","72.7800","71.7339","-0.96%"
"2022年4月27日","72.7800","73.5250","73.5250","72.5362","-1.01%"
"2022年4月26日","73.5250","73.1250","73.5250","72.2853","0.55%"
"2022年4月25日","73.1250","75.4500","75.4508","72.9369","-3.08%"
"2022年4月22日","75.4500","74.7850","75.8633","72.7221","0.89%"
"2022年4月21日","74.7850","76.4125","76.6139","73.3933","-2.13%"
"2022年4月20日","76.4125","78.5150","78.5347","74.7780","-2.68%"
"2022年4月19日","78.5150","79.7500","79.7500","78.0211","-1.55%"
"2022年4月18日","79.7500","79.9950","80.3522","78.7800","-0.31%"
"2022年4月15日","79.9950","80.8975","80.8991","79.2471","-1.12%"
"2022年4月14日","80.8975","79.8675","82.3836","79.5570","1.29%"
"2022年4月13日","79.8675","79.6800","80.2965","79.4078","0.24%"
"2022年4月12日","79.6800","79.0650","80.2549","78.6952","0.78%"
"2022年4月11日","79.0650","76.0800","81.2950","76.0800","3.92%"
"2022年4月8日","76.0800","75.7500","76.2590","71.3993","0.44%"
"2022年4月7日","75.7500","79.7000","79.7134","74.7532","-4.96%"
"2022年4月6日","79.7000","83.3125","83.6375","79.1975","-4.34%"
"2022年4月5日","83.3125","84.0000","84.0000","82.7885","-0.82%"
"2022年4月4日","84.0000","83.9500","84.9917","83.0201","0.06%"
"2022年4月1日","83.9500","83.2000","84.2991","83.1494","0.90%"
"2022年3月31日","83.2000","84.5500","84.5500","83.1100","-1.60%"
"2022年3月30日","84.5500","85.2500","85.2500","83.0119","-0.82%"
"2022年3月29日","85.2500","89.7500","89.7500","82.9525","-5.01%"
"2022年3月28日","89.7500","96.0000","96.0000","89.1301","-6.51%"
"2022年3月25日","96.0000","97.0000","97.4680","93.0750","-1.03%"
"2022年3月24日","97.0000","97.7375","97.7400","95.5604","-0.75%"
"2022年3月23日","97.7375","103.5500","104.4980","97.6000","-5.61%"
"2022年3月22日","103.5500","104.0000","104.3450","103.4399","-0.43%"
"2022年3月21日","104.0000","104.8200","105.6525","103.9968","-0.78%"
"2022年3月18日","104.8200","103.1500","105.5971","101.9980","1.62%"
"2022年3月17日","103.1500","108.0000","108.0000","103.0114","-4.49%"
"2022年3月16日","108.0000","110.1000","110.1000","107.3175","-1.91%"
"2022年3月15日","110.1000","114.1025","114.1025","109.2500","-3.51%"
"2022年3月14日","114.1025","114.2525","115.5952","110.1071","-0.13%"
"2022年3月11日","114.2525","118.5000","118.5075","113.3485","-3.58%"
"2022年3月10日","118.5000","120.0000","121.2100","116.0000","-1.25%"
"2022年3月9日","120.0000","113.8825","120.8300","113.8825","-5.88%"
"2022年3月8日","127.5000","129.0000","141.5000","121.0000","-10.84%"
"2022年3月7日","143.0000","120.0000","158.3000","125.5000","16.70%"
"2022年3月4日","122.5375","109.7500","128.0165","99.9200","11.50%"
"2022年3月3日","109.8960","102.7500","118.6885","96.5175","6.85%"
"2022年3月2日","102.8505","108.5000","115.5500","95.4750","-5.24%"
"2022年3月1日","108.5435","102.2500","118.5235","89.3985","2.36%"
"2022年2月28日","106.0405","107.6462","115.4163","92.9310","0.73%"
"2022年2月25日","105.2710","84.4255","105.2710","81.2302","25.25%"
"2022年2月24日","84.0475","81.1600","90.1896","80.5225","3.57%"
"2022年2月23日","81.1480","78.8300","81.8605","78.5456","3.24%"
"2022年2月22日","78.5987","80.1485","80.9408","78.4972","-1.77%"
"2022年2月21日","80.0170","77.9465","80.3438","76.1358","3.47%"
"2022年2月18日","77.3320","76.3088","77.4832","75.6440","1.34%"
"2022年2月17日","76.3088","75.2537","76.6241","75.2525","1.40%"
