"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022年6月6日","118.91","120.28","120.50","118.22","-","-1.14%"
"2022年6月5日","120.28","121.00","121.00","120.25","-","1.19%"
"2022年6月3日","118.87","117.55","120.46","115.23","240.83K","1.71%"
"2022年6月2日","116.87","114.80","117.77","111.20","327.60K","1.40%"
"2022年6月1日","115.26","115.40","117.87","114.58","290.53K","0.51%"
"2022年5月31日","114.67","114.96","119.98","114.15","440.80K","-2.50%"
"2022年5月30日","117.61","115.58","117.79","115.39","-","1.73%"
"2022年5月29日","115.61","115.30","115.81","115.20","-","0.47%"
"2022年5月27日","115.07","114.20","115.30","112.85","217.28K","0.86%"
"2022年5月26日","114.09","110.69","114.83","110.27","234.75K","3.41%"
"2022年5月25日","110.33","110.39","111.68","109.23","191.37K","0.51%"
"2022年5月24日","109.77","110.41","111.43","108.61","224.79K","-0.47%"
"2022年5月23日","110.29","110.56","111.96","109.15","215.62K","-2.60%"
"2022年5月20日","113.23","111.45","114.04","110.85","20.00K","0.91%"
"2022年5月19日","112.21","109.09","112.62","105.13","68.51K","2.39%"
"2022年5月18日","109.59","113.66","115.42","108.46","103.67K","-2.50%"
"2022年5月17日","112.40","113.87","115.56","111.75","252.63K","-1.58%"
"2022年5月16日","114.20","110.98","114.90","108.11","289.13K","3.36%"
"2022年5月13日","110.49","106.65","110.64","106.29","240.99K","4.11%"
"2022年5月12日","106.13","105.63","107.37","102.66","323.55K","0.40%"
"2022年5月11日","105.71","99.00","106.44","98.20","382.70K","5.96%"
"2022年5月10日","99.76","102.65","104.16","98.86","389.75K","-3.23%"
"2022年5月9日","103.09","110.43","110.49","102.13","368.18K","-6.09%"
"2022年5月6日","109.77","108.70","111.18","107.24","294.28K","1.39%"
"2022年5月5日","108.26","107.58","111.37","106.45","286.92K","0.42%"
"2022年5月4日","107.81","103.50","108.61","102.95","272.91K","5.27%"
"2022年5月3日","102.41","105.08","105.80","102.10","239.27K","-2.62%"
"2022年5月2日","105.17","104.00","105.94","100.28","261.88K","0.46%"
"2022年4月29日","104.69","105.17","107.99","103.78","-","-0.64%"
"2022年4月28日","105.36","102.11","105.68","100.13","312.06K","3.27%"
"2022年4月27日","102.02","101.76","102.99","99.80","278.78K","0.31%"
"2022年4月26日","101.70","98.64","102.78","97.06","351.85K","3.21%"
"2022年4月25日","98.54","101.38","101.55","95.28","328.15K","-3.46%"
"2022年4月22日","102.07","104.07","104.22","101.06","246.12K","-1.66%"
"2022年4月21日","103.79","102.50","105.42","102.01","280.32K","1.01%"
"2022年4月20日","102.75","103.05","104.16","100.70","17.02K","0.19%"
"2022年4月19日","102.56","107.75","108.92","102.10","71.79K","-5.22%"
"2022年4月18日","108.21","107.03","109.81","106.00","68.49K","1.18%"
"2022年4月14日","106.95","104.20","107.64","102.12","244.95K","2.59%"
"2022年4月13日","104.25","100.91","104.47","99.87","312.50K","3.63%"
"2022年4月12日","100.60","95.17","101.35","94.84","329.04K","6.69%"
"2022年4月11日","94.29","98.40","98.52","92.93","315.87K","-4.04%"
"2022年4月8日","98.26","97.17","98.76","95.29","310.08K","2.32%"
