ydl,pll,evaluation,date,label
50596,41,出乎意料！26天翻倍，这只冷门股为何能逆袭？,06-07 16:54,2
18380,116,33大招加码稳增长，重要信号落地，A股正迎来前所未有,05-24 07:01,1
18,0,坚持持股中远海控（601919），月底一定有大涨的希望,06-08 18:48,1
37,1,$中远海控(SH601919)$外围暴跌…………,06-08 18:42,2
55,2,$中远海控(SH601919)$明年分红率和今年一样的话，中远,06-08 18:39,2
50,0,$中远海控(SH601919)$没办法，不T不行。,06-08 18:11,2
56,1,我看海控的走势有点像楼梯，冲高一下横盘几天，再冲高,06-08 18:00,1
55,0,$中远海控(SH601919)$这股托太多了,06-08 17:57,2
72,0,$中远海控(SH601919)$这王那王，赚钱能力还比不上半个,06-08 17:47,2
89,0,破发40％，潍柴动力H股价高于A股股价？干散货长航凤凰,06-08 17:46,2
48,0,太烂了,06-08 17:34,2
71,1,$中远海控(SH601919)$加仓干他,06-08 17:28,1
70,0,$中远海控(SH601919)$可加仓,06-08 17:22,1
162,0,中远海控（海狗），我留给你的机会和时间不多了新能源,06-08 17:19,1
94,2,$中远海控(SH601919)$牛逼哦，整个大盘都在涨，唯独不,06-08 17:15,2
64,0,你们带头大哥钉子是不是又叫你们持股不动了？,06-08 17:13,2
80,0,海运旺季开启   跌跌涨涨就是28,06-08 16:57,1
62,0,$中远海控(SH601919)$外面涨的一片火热，这垃圾不如,06-08 16:54,2
74,1,$中远海控(SH601919)$中远海控两茫茫新赔车后卖房,06-08 16:36,2
73,1,走吧走吧都走吧,06-08 16:35,2
513,4,再次验证那一句话，业绩好的一概不涨。业绩不好题材故,06-08 16:13,2
110,1,15.48买入，明日开盘就交筹码。,06-08 16:12,1
124,1,大盘形势这么好，持有业绩这么牛逼的中远海控今天上午,06-08 16:10,1
109,0,$中远海控(SH601919)$这波反弹基本上接近尾声，随时都,06-08 16:02,2
75,0,$中远海控(SH601919)$衰股,06-08 16:01,2
74,0,都涨了，就这家伙不涨。,06-08 15:51,1
