date,amount,pctChg,ydl,pll,qxzs
2022-02-17,1752976314.5600,0.000000,126710,884,0.48484848484848486
2022-02-18,1619877782.8600,1.198300,117532,869,0.4945652173913043
2022-02-21,1657053432.0700,-0.592100,106320,827,0.4375
2022-02-22,2559004714.6700,-3.216200,145998,1243,0.4172661870503597
2022-02-23,1898948316.9200,1.600000,123227,1115,0.47577092511013214
2022-02-24,2939621851.4100,-2.119900,121487,902,0.625
2022-02-25,2293640849.8300,0.556900,113330,1637,0.5029585798816568
2022-02-28,5524724480.0000,7.815400,235009,1782,1.1872340425531915
2022-03-01,3915388208.0000,1.655300,160146,1031,0.9576271186440678
2022-03-02,2659362960.0000,-0.056100,135128,1008,0.8041958041958042
2022-03-03,4115671216.0000,3.764000,183577,1271,0.8584905660377359
2022-03-04,2917073472.0000,-1.245300,151357,1144,0.6257668711656442
2022-03-07,2617911488.0000,-3.344300,111775,789,0.8623853211009175
2022-03-08,2618075872.0000,-4.537700,123675,1033,0.40487804878048783
2022-03-09,2793899248.0000,-2.257900,131212,1348,0.42379182156133827
2022-03-10,2094060000.0000,-0.304000,237372,2535,0.4148471615720524
2022-03-11,2562905440.0000,3.292700,156551,1004,0.5511811023622047
2022-03-14,2316923024.0000,-4.545500,128704,900,0.4015151515151515
2022-03-15,3569943568.0000,-7.544800,184524,1541,0.41708542713567837
2022-03-16,3434638448.0000,7.424700,289758,1221,0.4864864864864865
2022-03-17,2903520704.0000,-0.684900,190016,1378,0.4114285714285714
2022-03-18,3210440884.3300,3.072100,145852,888,0.6123595505617978
2022-03-21,2382513746.2500,-1.034100,103064,595,0.3442622950819672
2022-03-22,1739606588.4200,0.676100,154685,2241,0.4108527131782946
2022-03-23,1361875079.8400,-0.549500,96699,1169,0.40606060606060607
2022-03-24,1516670842.0200,0.552500,92874,710,0.4589041095890411
2022-03-25,2334028090.8800,-3.724100,168177,1138,0.375
2022-03-28,2254332532.5800,-0.253600,131673,913,0.4782608695652174
2022-03-29,1768447610.2300,2.352200,97874,647,0.5378787878787878
2022-03-30,2020367394.5400,-0.062100,284552,2316,0.3620689655172414
2022-03-31,3082894493.2500,-3.666900,416244,2983,0.4954367666232073
2022-04-01,6746031254.4500,10.000000,565884,2680,0.8117647058823529
2022-04-06,5663342983.8400,-5.630500,343856,1875,0.4407051282051282
2022-04-07,2781838840.1900,-3.356100,206561,1143,0.46875
2022-04-08,2164619820.2400,0.192900,190791,1008,0.4982078853046595
2022-04-11,2327022031.5600,-3.722700,182841,989,0.38333333333333336
2022-04-12,2202559184.7200,2.933300,208464,2121,0.5693430656934306
2022-04-13,1559941147.9900,-0.712400,124423,805,0.6062176165803109
2022-04-14,1482262728.9200,0.913200,127412,813,0.36177474402730375
2022-04-15,1380242607.3800,-2.327100,132805,802,0.39316239316239315
2022-04-18,1308040834.7900,-1.456000,178305,1309,0.40671641791044777
2022-04-19,1160918894.7300,0.873100,110417,750,0.6111111111111112
2022-04-20,1447558129.2400,0.133200,108576,1060,0.5527950310559007
2022-04-21,1326896736.6500,-2.659600,132418,1038,0.44
2022-04-22,1445546823.0700,0.888000,119294,866,0.4723618090452261
2022-04-25,2243427508.0900,-8.124600,155262,1191,0.45263157894736844
2022-04-26,1984471778.1900,-0.073700,171011,1295,0.5988700564971752
2022-04-27,2118892228.1300,2.728600,117369,720,0.35361216730038025
2022-04-28,1898055741.3600,0.933200,104399,801,0.6510067114093959
2022-04-29,2073985806.3500,2.631600,181699,1283,0.5381679389312977
2022-05-05,2775370191.3800,4.019400,132317,718,0.9285714285714286
2022-05-06,1660856849.8800,-3.131200,128648,637,0.569620253164557
2022-05-09,910338419.9200,-0.550200,99744,619,0.36813186813186816
2022-05-10,1694870811.8800,-1.452300,178470,2112,0.35361216730038025
2022-05-11,1740375777.9200,-0.701800,134172,826,0.3411458333333333
2022-05-12,1287655900.6200,-0.141300,136392,756,0.3892857142857143
2022-05-13,1721249927.6400,2.052400,111265,671,0.44508670520231214
2022-05-16,1223288163.0800,-1.525700,131824,721,0.28363636363636363
2022-05-17,942912357.3400,0.422500,116233,818,0.37254901960784315
2022-05-18,1076938598.8600,-0.561000,81163,659,0.2894736842105263
2022-05-19,1326920369.5400,-1.339900,153224,1176,0.3304093567251462
2022-05-20,2824631627.1700,4.145800,181941,1223,0.7584745762711864
2022-05-23,2785359712.7500,3.912100,122030,716,0.762589928057554
2022-05-24,3028884242.1100,-1.255000,159728,969,0.6358381502890174
2022-05-25,2013520791.3600,1.605400,127974,1042,0.3384615384615385
2022-05-26,1507482910.4300,-0.460800,137038,905,0.36764705882352944
2022-05-27,2912935256.8700,2.381000,254500,2180,0.32991803278688525
2022-05-30,1694564090.9800,-0.969000,122059,748,0.33653846153846156
2022-05-31,1422291429.8100,0.130500,109541,599,0.2896825396825397
2022-06-01,1592416552.5500,0.260600,102719,579,0.3073770491803279
2022-06-02,1204826076.2800,-0.649800,112164,609,0.25133689839572193
2022-06-06,1547321497.9800,0.981000,82913,592,0.4444444444444444
2022-06-07,3284404186.2300,3.173600,198516,832,0.6347305389221557
2022-06-08,1950892257.8500,-1.318300,43718,407,0.5
