日期,hsz,hp,hxd,ssz,sp,sxd
04/29,1916,27,143,2495,21,110
04/28,652,51,1381,560,43,2021
04/27,1714,38,331,2214,30,381
04/26,337,29,1717,407,30,2189
04/25,58,13,2012,89,7,2528
04/22,787,38,1257,829,65,1730
04/21,155,19,1906,178,11,2433
04/20,572,41,1466,722,49,1850
04/19,1109,55,913,1576,86,957
04/18,1211,50,814,1609,83,924
04/15,504,37,1534,505,34,2078
04/14,1429,78,567,1729,106,782
04/13,435,38,1601,405,30,2181
04/12,1619,36,419,2134,41,442
04/11,251,15,1806,307,25,2283
04/08,768,62,1242,786,41,1785
04/07,249,23,1799,329,29,2256
04/06,1344,39,688,1880,43,687
04/01,974,65,1031,984,68,1559
03/31,935,54,1080,1128,85,1399
03/30,1692,44,332,2092,60,459
03/29,505,44,1518,624,47,1939
03/28,820,68,1179,962,81,1565
03/25,738,93,1236,1007,86,1514
03/24,421,43,1602,521,28,2056
03/23,1029,75,961,1243,103,1260
03/22,884,65,1115,1068,92,1444
03/21,1381,76,605,1811,79,711
03/18,1521,30,511,1957,43,602
03/17,1588,62,410,2103,66,433
03/16,1862,12,185,2393,18,188
03/15,110,6,1942,136,3,2460
03/14,175,13,1868,256,14,2329
03/11,1264,68,723,1631,93,875
03/10,1533,63,458,2035,51,513
03/09,459,29,1565,618,18,1960
03/08,193,15,1845,252,14,2331
03/07,341,39,1673,490,32,2072
03/04,459,44,1549,560,36,1998
03/03,936,53,1063,914,68,1611
03/02,1148,80,824,1446,80,1069
03/01,1388,58,606,1778,74,741
02/28,902,67,1083,1070,78,1446
02/25,1457,68,527,1879,80,632
02/24,311,14,1727,341,27,2224
02/23,1530,73,449,2013,67,512
02/22,382,25,1645,505,32,2053
02/21,1381,59,611,2008,54,527
02/18,1348,56,647,1713,75,800
02/17,707,51,1292,873,61,1654
06/08,764,87,1244,920,97,1622
06/07,699,68,1326,847,59,1729
06/06,1549,83,461,2147,83,405
06/02,1306,60,725,1611,94,927
06/01,1218,92,781,1533,105,995
05/31,1481,97,513,1837,103,692
05/30,1395,78,618,1571,126,935
05/27,856,101,1134,1015,127,1490
05/26,1257,62,771,1466,114,1053
05/25,1706,42,341,2291,59,283
05/24,123,26,1939,157,33,2442
05/23,1462,79,549,2004,86,541
05/20,1557,80,453,1937,105,589
05/19,1168,101,819,1557,130,943
05/18,1154,91,843,1646,107,877
05/17,901,84,1103,1039,106,1485
05/16,972,100,1016,1165,134,1329
05/13,1255,92,741,1460,144,1026
05/12,1302,95,691,1813,116,699
05/11,1005,93,989,1091,121,1415
05/10,1622,84,381,2085,105,437
05/09,1529,63,495,2117,78,433
05/06,520,53,1514,734,81,1814
05/05,1456,91,539,2016,108,503
06/09,358,46,1691,362,45,2230
06/09,358,46,1691,362,45,2230
06/08,764,87,1244,920,97,1622
06/07,699,68,1326,847,59,1729
06/06,1549,83,461,2147,83,405
06/02,1306,60,725,1611,94,927
06/01,1218,92,781,1533,105,995
05/31,1481,97,513,1837,103,692
05/30,1395,78,618,1571,126,935
05/27,856,101,1134,1015,127,1490
05/26,1257,62,771,1466,114,1053
05/25,1706,42,341,2291,59,283
05/24,123,26,1939,157,33,2442
05/23,1462,79,549,2004,86,541
05/20,1557,80,453,1937,105,589
05/19,1168,101,819,1557,130,943
05/18,1154,91,843,1646,107,877
05/17,901,84,1103,1039,106,1485
05/16,972,100,1016,1165,134,1329
05/13,1255,92,741,1460,144,1026
05/12,1302,95,691,1813,116,699
05/11,1005,93,989,1091,121,1415
05/10,1622,84,381,2085,105,437
05/09,1529,63,495,2117,78,433
05/06,520,53,1514,734,81,1814
05/05,1456,91,539,2016,108,503
04/29,1916,27,143,2495,21,110
04/28,652,51,1381,560,43,2021
04/27,1714,38,331,2214,30,381
04/26,337,29,1717,407,30,2189
04/25,58,13,2012,89,7,2528
04/22,787,38,1257,829,65,1730
04/21,155,19,1906,178,11,2433
04/20,572,41,1466,722,49,1850
04/19,1109,55,913,1576,86,957
04/18,1211,50,814,1609,83,924
04/15,504,37,1534,505,34,2078
04/14,1429,78,567,1729,106,782
04/13,435,38,1601,405,30,2181
04/12,1619,36,419,2134,41,442
04/11,251,15,1806,307,25,2283
04/08,768,62,1242,786,41,1785
04/07,249,23,1799,329,29,2256
04/06,1344,39,688,1880,43,687
04/01,974,65,1031,984,68,1559
03/31,935,54,1080,1128,85,1399
03/30,1692,44,332,2092,60,459
03/29,505,44,1518,624,47,1939
03/28,820,68,1179,962,81,1565
03/25,738,93,1236,1007,86,1514
03/24,421,43,1602,521,28,2056
