"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022年6月6日","1,096.90","1,061.12","1,099.30","1,061.12","-","3.30%"
"2022年6月5日","1,061.88","1,045.12","1,061.88","1,044.62","-","2.10%"
"2022年6月3日","1,040.00","1,061.50","1,069.25","1,036.25","-","-1.72%"
"2022年6月2日","1,058.25","1,043.25","1,075.00","1,037.25","-","1.63%"
"2022年6月1日","1,041.25","1,091.00","1,098.00","1,027.25","-","-4.25%"
"2022年5月31日","1,087.50","1,157.00","1,157.25","1,087.50","68.16K","-5.88%"
"2022年5月30日","1,155.38","1,157.50","1,157.50","1,155.38","-","-0.18%"
"2022年5月27日","1,157.50","1,143.25","1,170.25","1,133.50","25.54K","1.25%"
"2022年5月26日","1,143.25","1,133.00","1,160.25","1,115.00","38.51K","-0.44%"
"2022年5月25日","1,148.25","1,154.50","1,158.50","1,114.50","-","-0.56%"
"2022年5月24日","1,154.75","1,196.00","1,208.75","1,138.00","-","-2.96%"
"2022年5月23日","1,190.00","1,181.75","1,196.75","1,174.75","-","1.82%"
"2022年5月20日","1,168.75","1,208.00","1,208.00","1,168.00","-","-2.64%"
"2022年5月19日","1,200.50","1,222.00","1,247.75","1,193.50","54.78K","-2.46%"
"2022年5月18日","1,230.75","1,278.50","1,280.00","1,211.50","-","-3.66%"
"2022年5月17日","1,277.50","1,268.00","1,284.00","1,200.75","-","2.40%"
"2022年5月16日","1,247.50","1,234.25","1,247.50","1,222.25","-","6.88%"
"2022年5月13日","1,167.25","1,172.75","1,198.50","1,158.50","0.00K","-0.62%"
"2022年5月12日","1,174.50","1,107.75","1,128.75","1,103.25","0.16K","5.93%"
"2022年5月11日","1,108.75","1,109.25","1,115.00","1,100.00","0.05K","2.35%"
"2022年5月10日","1,083.25","1,096.75","1,098.50","1,092.00","0.04K","-0.87%"
"2022年5月9日","1,092.75","1,120.75","1,135.00","1,090.00","37.35K","-1.42%"
"2022年5月6日","1,108.50","1,102.00","1,127.50","1,087.75","39.58K","0.18%"
"2022年5月5日","1,106.50","1,079.00","1,121.75","1,077.25","47.81K","2.79%"
"2022年5月4日","1,076.50","1,047.00","1,089.00","1,042.25","44.20K","2.82%"
"2022年5月3日","1,047.00","1,053.62","1,068.80","1,044.25","-","-0.70%"
"2022年5月2日","1,054.38","1,045.25","1,071.38","1,034.25","-","-0.13%"
"2022年4月29日","1,055.75","1,085.00","1,102.50","1,054.25","-","-2.76%"
"2022年4月28日","1,085.75","1,088.00","1,106.50","1,081.00","-","-0.50%"
"2022年4月27日","1,091.25","1,092.50","1,097.50","1,078.25","-","-0.34%"
"2022年4月26日","1,095.00","1,081.00","1,107.00","1,077.00","-","1.19%"
"2022年4月25日","1,082.12","1,087.50","1,089.30","1,056.12","-","-0.04%"
"2022年4月24日","1,082.50","1,073.25","1,084.25","1,073.25","-","1.60%"
"2022年4月22日","1,065.50","1,070.00","1,076.00","1,052.50","-","-0.23%"
"2022年4月21日","1,068.00","1,094.25","1,094.25","1,052.50","-","-1.84%"
"2022年4月20日","1,088.00","1,094.75","1,109.75","1,066.75","-","-1.00%"
"2022年4月19日","1,099.00","1,123.25","1,135.00","1,096.00","-","-1.92%"
"2022年4月18日","1,120.50","1,099.25","1,134.75","1,098.25","-","2.26%"
"2022年4月15日","1,095.75","1,095.75","1,095.75","1,095.75","-","-0.07%"
"2022年4月14日","1,096.50","1,113.00","1,127.50","1,094.25","20.65K","-1.53%"
"2022年4月13日","1,113.50","1,102.50","1,124.25","1,078.00","-","0.88%"
"2022年4月12日","1,103.75","1,077.75","1,117.50","1,075.00","-","2.08%"
"2022年4月11日","1,081.25","1,056.00","1,091.75","1,055.00","-","2.83%"
"2022年4月8日","1,051.50","1,020.00","1,054.25","1,017.00","-","3.09%"
"2022年4月7日","1,020.00","1,040.25","1,044.50","1,017.75","-","-2.03%"
